"","V1","V2","V3","V4"
"1","0.35","1","edf","68.1457545856904"
"2","0.35","1","mse","111.589485297432"
"3","0.35","2","edf","56.2262770441857"
"4","0.35","2","mse","89.4585481355914"
"5","0.35","3","edf","57.2764666450899"
"6","0.35","3","mse","88.4675394541972"
"7","0.35","4","edf","63.3445436450808"
"8","0.35","4","mse","91.0755170168598"
"9","0.35","5","edf","62.6781416504204"
"10","0.35","5","mse","148.147622670234"
"11","0.35","6","edf","57.1155942581168"
"12","0.35","6","mse","89.9072450038321"
"13","0.35","7","edf","65.6341198203864"
"14","0.35","7","mse","71.5148490509078"
"15","0.35","8","edf","54.5423614518832"
"16","0.35","8","mse","146.128113830635"
"17","0.35","9","edf","58.9311456139418"
"18","0.35","9","mse","101.500951737027"
"19","0.35","10","edf","57.3759761503436"
"20","0.35","10","mse","72.9314483161902"
"21","0.35","11","edf","65.4463569178193"
"22","0.35","11","mse","107.09290351372"
"23","0.35","12","edf","71.347037634753"
"24","0.35","12","mse","80.9330889917286"
"25","0.35","13","edf","62.4374973550583"
"26","0.35","13","mse","71.8069989378396"
"27","0.35","14","edf","59.5392979467549"
"28","0.35","14","mse","110.680002971326"
"29","0.35","15","edf","59.3838500835851"
"30","0.35","15","mse","77.0751246912427"
"31","0.35","16","edf","61.3384418155859"
"32","0.35","16","mse","100.441805494101"
"33","0.35","17","edf","72.474099695979"
"34","0.35","17","mse","111.984738835667"
"35","0.35","18","edf","62.7488722455601"
"36","0.35","18","mse","69.0593405198826"
"37","0.35","19","edf","60.7095390401717"
"38","0.35","19","mse","95.242905672704"
"39","0.35","20","edf","61.1798861303137"
"40","0.35","20","mse","137.295450483771"
"41","0.35","21","edf","57.0942093216738"
"42","0.35","21","mse","89.9437672895905"
"43","0.35","22","edf","60.1671511920396"
"44","0.35","22","mse","105.653103611624"
"45","0.35","23","edf","61.5091593249838"
"46","0.35","23","mse","109.795204316809"
"47","0.35","24","edf","65.8461680721885"
"48","0.35","24","mse","89.2501077163598"
"49","0.35","25","edf","58.6703819810376"
"50","0.35","25","mse","78.319437507309"
"51","0.35","26","edf","62.1011651250152"
"52","0.35","26","mse","72.8866088487517"
"53","0.35","27","edf","63.0096226317965"
"54","0.35","27","mse","59.2847785089436"
"55","0.35","28","edf","57.5701804957305"
"56","0.35","28","mse","70.9968440619704"
"57","0.35","29","edf","68.0051952548561"
"58","0.35","29","mse","74.7147311568594"
"59","0.35","30","edf","56.7792571687667"
"60","0.35","30","mse","73.7792924273094"
"61","0.35","31","edf","59.5146651035263"
