"","V1","V2","V3","V4"
"1","0.35","1","edf","68.1457545856345"
"2","0.35","1","mse","111.58948529742"
"3","0.35","1","edf","60.5108201399"
"4","0.35","1","mse","75.6852894191164"
"5","0.35","2","edf","56.2262770441568"
"6","0.35","2","mse","89.4585481357296"
"7","0.35","2","edf","45.6150498125338"
"8","0.35","2","mse","60.7257504184114"
"9","0.9","1","edf","45.4369026991131"
"10","0.9","1","mse","288.295882063391"
"11","0.9","1","edf","36.3067241499903"
"12","0.9","1","mse","186.982672484907"
"13","0.9","2","edf","36.5065175186186"
"14","0.9","2","mse","277.64061758408"
"15","0.9","2","edf","26.5467342186249"
"16","0.9","2","mse","221.04200075837"
"17","1.55","1","edf","36.8263590179832"
"18","1.55","1","mse","574.056968512276"
"19","1.55","1","edf","25.2748696723021"
"20","1.55","1","mse","313.646820277016"
"21","1.55","2","edf","24.3808360224877"
"22","1.55","2","mse","832.310627299723"
"23","1.55","2","edf","19.3226255219078"
"24","1.55","2","mse","475.360394108003"
