"","mdstpadj"
"1",15.0406937213522
"2",15.6072338235975
"3",19.0139344316567
"4",14.8950923286132
"5",19.0892791105166
"6",18.3571967991461
"7",15.7409896719472
"8",16.9653394934613
"9",18.5184164590379
"10",23.7126883481635
"11",21.6987539493523
"12",29.6262187892049
"13",33.4377145120802
"14",16.9665495268300
"15",27.0335307296475
"16",27.3005748447927
"17",14.6022900037149
"18",15.9128793903124
"19",22.8237682596487
"20",13.8645508510820
"21",19.8473971159283
"22",22.4686623464419
"23",13.5454736403179
"24",14.5791731275316
"25",13.1770382718837
"26",26.4419751138611
"27",20.6560588006905
"28",14.9798140404021
"29",14.9809224449580
"30",16.6152545293623
"31",15.9035461525202
"32",15.3753925439366
"33",17.3009837165638
"34",29.4114814476377
"35",12.3167201099243
"36",17.0958367929755
"37",18.1421320052435
"38",16.7835669689703
"39",17.6040033642137
"40",15.0827362195160
"41",15.0527984533841
"42",23.6692047307193
"43",11.5002141348577
"44",26.5633838957271
"45",17.0369955212367
"46",14.4552386308686
"47",20.0170908149833
"48",44.4688467767541
"49",15.2338720268981
"50",14.3524322395724
"51",25.2851449629527
"52",13.6181740694034
"53",29.8397751939080
"54",16.8098727716594
"55",25.8442031807014
"56",15.2380615246543
"57",15.6968214225852
"58",35.1119666102318
"59",14.5455298957417
"60",21.0453891917963
"61",19.5755629996415
"62",18.9846919152186
"63",16.6168951354611
"64",17.9066438234337
"65",15.4966471313412
"66",21.4698181721814
"67",28.6458564587045
"68",18.438223424003
"69",24.5892631151703
"70",47.0160306168958
"71",14.5968576087552
"72",16.4511232375999
"73",16.0614347157938
"74",15.6540865763772
"75",14.7946408822022
"76",14.3759458678544
"77",16.0024186864272
"78",16.2042429228568
"79",21.8571730151801
"80",15.3210289415362
"81",16.2546743310197
"82",33.9865026400229
"83",14.3195067879018
"84",19.1710993349475
"85",18.9227842056164
"86",19.3684156252927
"87",12.4161338934132
"88",16.3396225154098
"89",14.4534798744913
"90",17.1754273855477
"91",15.4779791000046
"92",14.4342940734982
"93",15.1813632308025
"94",15.7202554548112
"95",18.4859369201358
"96",14.5154749142059
"97",16.1192843189585
"98",23.8654134124251
"99",14.8668576133239
"100",15.5286338164403
