"","mdstpadj"
"1",7.31926448709195
"2",7.76735491039976
"3",7.12961801549134
"4",8.16926718239244
"5",8.21843843291603
"6",8.35927956015262
"7",7.72852267825305
"8",7.67878609018815
"9",7.61429033511093
"10",8.4379670117095
"11",7.96741565363965
"12",7.57536611273772
"13",8.80660609752274
"14",7.92891703603227
"15",7.85062766111394
"16",7.15396058220806
"17",8.68348223726703
"18",6.71903245404482
"19",7.33918147863574
"20",7.68293438684785
"21",7.81378234515984
"22",8.84628254246016
"23",8.45919731911077
"24",7.9060251303435
"25",7.61229509275118
"26",8.05228774120367
"27",7.4570422273521
"28",8.18147757509858
"29",7.89988958062986
"30",7.24097155860713
"31",7.73151225544819
"32",8.12974926633794
"33",8.03750717781177
"34",7.52027354756683
"35",8.92148571963146
"36",8.02213832384417
"37",7.21538527071808
"38",8.67082328224027
"39",8.21072676210221
"40",7.22395082933975
"41",8.51602531162598
"42",7.48027256343085
"43",7.62176708528627
"44",8.79772692076865
"45",7.99193352789589
"46",8.25901403293234
"47",8.52985544518809
"48",7.55955650165382
"49",7.72437000427404
"50",7.95747879521762
"51",7.63964344688062
"52",7.7321703650009
"53",7.62396970828745
"54",7.4888336234397
"55",8.56518806445901
"56",7.70830078432964
"57",8.336135864208
"58",8.07754248671063
"59",7.99351275699492
"60",8.32426313210147
"61",7.59378242897759
"62",7.49601605579144
"63",8.0349656618895
"64",8.5037280959683
"65",8.05952631110209
"66",7.4629065525998
"67",8.59410922886343
"68",8.19229962465898
"69",7.77024186481907
"70",8.1365585975643
"71",8.28032537217051
"72",7.75994447457382
"73",7.75813808328883
"74",7.16086826034084
"75",6.92624933993776
"76",8.10141746787702
"77",7.85467654652945
"78",7.17808931509221
"79",7.72547120434279
"80",8.332482750106
"81",7.48454042735261
"82",6.7704144399523
"83",7.99085758364493
"84",7.72922623746424
"85",8.97324060305484
"86",7.56024753385924
"87",8.83309312106976
"88",7.6081225944239
"89",7.43143767396234
"90",7.49484735476825
"91",6.66635214347031
"92",8.59928123779834
"93",7.29664511312935
"94",8.33730565785816
"95",7.74218327155279
"96",8.63417328988997
"97",7.86622528017318
"98",7.79623625072555
"99",7.64851496167143
"100",8.35252159451911
