"","mse","labs"
"1",3.97345066064175,"SC+TPRS"
"2",3.98031619519537,"SC+TPRS"
"3",3.96613914358449,"SC+TPRS"
"4",3.98318795248148,"SC+TPRS"
"5",3.97903401258984,"SC+TPRS"
"6",3.9704394778062,"SC+TPRS"
"7",3.95425485354238,"SC+TPRS"
"8",3.97436764449542,"SC+TPRS"
"9",3.97241497431118,"SC+TPRS"
"10",3.98558037875293,"SC+TPRS"
"11",3.9639178029835,"SC+TPRS"
"12",3.98743387176967,"SC+TPRS"
"13",3.99376243789024,"SC+TPRS"
"14",3.98063390167962,"SC+TPRS"
"15",3.98203325725686,"SC+TPRS"
"16",3.98438317808747,"SC+TPRS"
"17",3.95529267400351,"SC+TPRS"
"18",3.95656553236396,"SC+TPRS"
"19",3.98717704250908,"SC+TPRS"
"20",3.99368782314449,"SC+TPRS"
"21",3.98910641923694,"SC+TPRS"
"22",3.95899013028666,"SC+TPRS"
"23",3.96878926998376,"SC+TPRS"
"24",3.96459729776202,"SC+TPRS"
"25",3.9803280764329,"SC+TPRS"
"26",3.97693534517595,"SC+TPRS"
"27",3.9669147071254,"SC+TPRS"
"28",3.97404781841878,"SC+TPRS"
"29",3.96422135663875,"SC+TPRS"
"30",3.96475409919264,"SC+TPRS"
"31",3.96272029864343,"SC+TPRS"
"32",3.98623607093629,"SC+TPRS"
"33",3.9507351773229,"SC+TPRS"
"34",3.96141056619192,"SC+TPRS"
"35",3.97843819112912,"SC+TPRS"
"36",3.9850937920286,"SC+TPRS"
"37",3.96978043634500,"SC+TPRS"
"38",3.94452335265998,"SC+TPRS"
"39",3.95528804883411,"SC+TPRS"
"40",3.98162868615974,"SC+TPRS"
"41",3.97006637169061,"SC+TPRS"
"42",4.00269285964659,"SC+TPRS"
"43",3.96942380729684,"SC+TPRS"
"44",3.95976847388777,"SC+TPRS"
"45",3.98497082738615,"SC+TPRS"
"46",3.97604881852075,"SC+TPRS"
"47",3.96719929392859,"SC+TPRS"
"48",3.97811163502613,"SC+TPRS"
"49",3.98466704435041,"SC+TPRS"
"50",3.96718556647329,"SC+TPRS"
"51",3.98340231253302,"SC+TPRS"
"52",3.96962510338547,"SC+TPRS"
"53",3.97351352637561,"SC+TPRS"
"54",3.97511526464985,"SC+TPRS"
"55",3.97422258107883,"SC+TPRS"
"56",3.97745280365628,"SC+TPRS"
"57",3.97757930206081,"SC+TPRS"
"58",3.96898983681861,"SC+TPRS"
"59",3.96403828263297,"SC+TPRS"
"60",3.99559395425257,"SC+TPRS"
"61",3.98184270916476,"SC+TPRS"
"62",3.9817384302322,"SC+TPRS"
"63",3.95233351422415,"SC+TPRS"
"64",3.97842944752173,"SC+TPRS"
"65",3.97665543338908,"SC+TPRS"
"66",3.97274982623860,"SC+TPRS"
"67",3.9634672561082,"SC+TPRS"
"68",3.97447602521617,"SC+TPRS"
"69",3.9746032121754,"SC+TPRS"
"70",3.97324986018930,"SC+TPRS"
"71",3.9960799788187,"SC+TPRS"
"72",3.93708892932628,"SC+TPRS"
"73",3.97386498747501,"SC+TPRS"
"74",3.98662107621068,"SC+TPRS"
"75",3.98358651359446,"SC+TPRS"
"76",3.99102251409331,"SC+TPRS"
"77",3.95581151109822,"SC+TPRS"
"78",3.97131311969485,"SC+TPRS"
"79",3.99121324633224,"SC+TPRS"
"80",3.97069194903999,"SC+TPRS"
"81",3.94766916095878,"SC+TPRS"
"82",3.96447747142557,"SC+TPRS"
"83",3.9902685034945,"SC+TPRS"
"84",3.95145253015035,"SC+TPRS"
"85",3.98321205550094,"SC+TPRS"
"86",3.98577894909034,"SC+TPRS"
"87",3.98458920531723,"SC+TPRS"
"88",3.95456176643018,"SC+TPRS"
"89",3.95110349225433,"SC+TPRS"
"90",3.98054931892015,"SC+TPRS"
"91",3.98394354825542,"SC+TPRS"
"92",3.97839865625205,"SC+TPRS"
"93",3.99001342935408,"SC+TPRS"
"94",3.97097854010797,"SC+TPRS"
"95",3.97317509628658,"SC+TPRS"
"96",3.95309830494042,"SC+TPRS"
"97",3.99252855169355,"SC+TPRS"
"98",3.9629909893427,"SC+TPRS"
"99",3.96585812161878,"SC+TPRS"
"100",3.96620846850632,"SC+TPRS"
"101",3.93944397156293,"SC+TPRS"
"102",3.97292420141523,"SC+TPRS"
"103",3.98081056767024,"SC+TPRS"
"104",3.98719595060335,"SC+TPRS"
"105",3.96567311051486,"SC+TPRS"
"106",3.98578915326437,"SC+TPRS"
"107",3.96113050410327,"SC+TPRS"
"108",3.96053581435998,"SC+TPRS"
"109",3.97524516894586,"SC+TPRS"
"110",3.98372274299695,"SC+TPRS"
"111",3.96294978142327,"SC+TPRS"
"112",3.99586084347885,"SC+TPRS"
"113",3.97885569437975,"SC+TPRS"
"114",3.99018674788342,"SC+TPRS"
"115",3.9798702630678,"SC+TPRS"
"116",3.99046762747566,"SC+TPRS"
"117",3.97069969615171,"SC+TPRS"
"118",3.99150973164174,"SC+TPRS"
"119",3.93718938610146,"SC+TPRS"
"120",3.97681173141881,"SC+TPRS"
"121",3.94806993398274,"SC+TPRS"
"122",3.97962588247469,"SC+TPRS"
"123",3.97528399820540,"SC+TPRS"
"124",3.96844833063603,"SC+TPRS"
"125",3.97926156500423,"SC+TPRS"
"126",3.97749198069492,"SC+TPRS"
"127",3.97737970159818,"SC+TPRS"
"128",3.96993171537118,"SC+TPRS"
"129",3.9587027864288,"SC+TPRS"
"130",3.97228807930289,"SC+TPRS"
"131",3.97510660248301,"SC+TPRS"
"132",3.98168552563605,"SC+TPRS"
"133",4.00093311513912,"SC+TPRS"
"134",3.95675424795211,"SC+TPRS"
"135",4.00125515143765,"SC+TPRS"
"136",3.98053457224552,"SC+TPRS"
"137",3.98291109894471,"SC+TPRS"
"138",3.99540649139164,"SC+TPRS"
"139",3.97099379978298,"SC+TPRS"
"140",3.97209086172095,"SC+TPRS"
"141",3.97431953673789,"SC+TPRS"
"142",3.96413220073123,"SC+TPRS"
"143",3.97631670670782,"SC+TPRS"
"144",3.9671281684516,"SC+TPRS"
"145",3.98082601586865,"SC+TPRS"
"146",3.95265187954101,"SC+TPRS"
"147",3.97647882359724,"SC+TPRS"
"148",3.9822665559243,"SC+TPRS"
"149",3.97574047745189,"SC+TPRS"
"150",3.95452478411146,"SC+TPRS"
"151",3.97003185248224,"SC+TPRS"
"152",3.96715121860796,"SC+TPRS"
"153",3.98848689513415,"SC+TPRS"
"154",3.97344030145357,"SC+TPRS"
"155",3.9699518001138,"SC+TPRS"
"156",3.97290756353773,"SC+TPRS"
"157",3.96786394668706,"SC+TPRS"
"158",3.9829048787632,"SC+TPRS"
"159",3.96365312102865,"SC+TPRS"
"160",3.96681240977975,"SC+TPRS"
"161",3.98016469198568,"SC+TPRS"
"162",3.98726978425672,"SC+TPRS"
"163",4.00033560058141,"SC+TPRS"
"164",3.99033933521774,"SC+TPRS"
"165",3.97774039292039,"SC+TPRS"
"166",3.9776873900389,"SC+TPRS"
"167",3.97571442976019,"SC+TPRS"
"168",3.99091599200753,"SC+TPRS"
"169",3.97270986821261,"SC+TPRS"
"170",3.9858804302018,"SC+TPRS"
"171",3.96813098319239,"SC+TPRS"
"172",3.97183744583585,"SC+TPRS"
"173",3.98251754975721,"SC+TPRS"
"174",3.98417411851083,"SC+TPRS"
"175",3.97899375807847,"SC+TPRS"
"176",3.96126949278937,"SC+TPRS"
"177",3.9603024545255,"SC+TPRS"
"178",3.97010393817735,"SC+TPRS"
"179",3.97288081111368,"SC+TPRS"
"180",3.96589561901048,"SC+TPRS"
"181",3.98707616982833,"SC+TPRS"
"182",3.97575623432729,"SC+TPRS"
"183",3.99307664772282,"SC+TPRS"
"184",3.94953608157612,"SC+TPRS"
"185",3.97512809943445,"SC+TPRS"
"186",3.99785839722802,"SC+TPRS"
"187",3.96766563978745,"SC+TPRS"
"188",3.97534694994716,"SC+TPRS"
"189",3.97428028831312,"SC+TPRS"
"190",3.98749550815675,"SC+TPRS"
"191",3.97857862079589,"SC+TPRS"
"192",3.99462597583024,"SC+TPRS"
"193",3.94656936985826,"SC+TPRS"
"194",3.97700124899498,"SC+TPRS"
"195",3.9559055243062,"SC+TPRS"
"196",3.98533107604956,"SC+TPRS"
"197",4.00591998906582,"SC+TPRS"
"198",3.97885481664801,"SC+TPRS"
"199",3.97335040729496,"SC+TPRS"
"200",3.95092515879019,"SC+TPRS"
"201",3.97000675061705,"SC+TPRS"
"202",3.96214094016685,"SC+TPRS"
"203",3.98235970951366,"SC+TPRS"
"204",3.96980345018464,"SC+TPRS"
"205",3.95891438079471,"SC+TPRS"
"206",3.97061798660424,"SC+TPRS"
"207",3.94939105380082,"SC+TPRS"
"208",3.96630864794471,"SC+TPRS"
"209",3.960255279972,"SC+TPRS"
"210",3.97158669017469,"SC+TPRS"
"211",3.96167725491191,"SC+TPRS"
"212",3.97378958032591,"SC+TPRS"
"213",3.979026872492,"SC+TPRS"
"214",3.97459631461215,"SC+TPRS"
"215",3.96915875296127,"SC+TPRS"
"216",3.98019458781772,"SC+TPRS"
"217",3.96559681059048,"SC+TPRS"
"218",3.97772711765327,"SC+TPRS"
"219",3.99833109698092,"SC+TPRS"
"220",3.9798050274657,"SC+TPRS"
"221",3.97555506213141,"SC+TPRS"
"222",3.97428425432253,"SC+TPRS"
"223",3.98756533246169,"SC+TPRS"
"224",3.98204249980328,"SC+TPRS"
"225",3.95384006227998,"SC+TPRS"
"226",4.00162159075986,"SC+TPRS"
"227",3.98311616248695,"SC+TPRS"
"228",3.97712967622621,"SC+TPRS"
"229",3.96939799609298,"SC+TPRS"
"230",3.99220984447364,"SC+TPRS"
"231",3.96671074003436,"SC+TPRS"
"232",3.97054880202662,"SC+TPRS"
"233",3.99438276934224,"SC+TPRS"
"234",3.9739010469584,"SC+TPRS"
"235",3.94310360655314,"SC+TPRS"
"236",3.95086314952878,"SC+TPRS"
"237",3.98582290314628,"SC+TPRS"
"238",3.9686551607349,"SC+TPRS"
"239",3.97803932999474,"SC+TPRS"
"240",3.99031570493652,"SC+TPRS"
"241",3.96924987779438,"SC+TPRS"
"242",3.96161994295833,"SC+TPRS"
"243",3.98763878583448,"SC+TPRS"
"244",3.97360302690659,"SC+TPRS"
"245",3.95869323650356,"SC+TPRS"
"246",3.96841731936183,"SC+TPRS"
"247",3.97020806305251,"SC+TPRS"
"248",3.97312152882189,"SC+TPRS"
"249",3.98942890518743,"SC+TPRS"
"250",3.97695613194089,"SC+TPRS"
"251",3.99252760553995,"SC+TPRS"
"252",3.98805681368496,"SC+TPRS"
"253",3.9846763909397,"SC+TPRS"
"254",3.98159266831328,"SC+TPRS"
"255",3.98855718323417,"SC+TPRS"
"256",3.96822840916999,"SC+TPRS"
"257",3.96788970480778,"SC+TPRS"
"258",3.96290257824438,"SC+TPRS"
"259",3.97539223103009,"SC+TPRS"
"260",3.97360176949457,"SC+TPRS"
"261",3.95280893395659,"SC+TPRS"
"262",3.99136598173265,"SC+TPRS"
"263",3.98644937653256,"SC+TPRS"
"264",3.98302408115996,"SC+TPRS"
"265",3.98588719636309,"SC+TPRS"
"266",3.97614053702196,"SC+TPRS"
"267",3.99220245934814,"SC+TPRS"
"268",3.98637536245093,"SC+TPRS"
"269",3.99751806045504,"SC+TPRS"
"270",3.9783199050366,"SC+TPRS"
"271",3.99226075279308,"SC+TPRS"
"272",3.96570908666149,"SC+TPRS"
"273",3.97451943773063,"SC+TPRS"
"274",3.97071772290188,"SC+TPRS"
"275",3.97298127190539,"SC+TPRS"
"276",3.96929864637282,"SC+TPRS"
"277",3.96854418319904,"SC+TPRS"
"278",3.98832188179407,"SC+TPRS"
"279",3.95161014044646,"SC+TPRS"
"280",3.96197445583908,"SC+TPRS"
"281",3.9763759742475,"SC+TPRS"
"282",3.9571342892546,"SC+TPRS"
"283",3.97231235535445,"SC+TPRS"
"284",3.97222430748643,"SC+TPRS"
"285",3.99417437468152,"SC+TPRS"
"286",3.95554451017293,"SC+TPRS"
"287",3.97552741651443,"SC+TPRS"
"288",3.96887325858128,"SC+TPRS"
"289",3.97610905037574,"SC+TPRS"
"290",3.99824007238847,"SC+TPRS"
"291",3.98076335394895,"SC+TPRS"
"292",3.97531914287766,"SC+TPRS"
"293",3.96001561584491,"SC+TPRS"
"294",3.97918883652234,"SC+TPRS"
"295",3.98545203296385,"SC+TPRS"
"296",3.96649383273105,"SC+TPRS"
"297",3.98423655853225,"SC+TPRS"
"298",3.97232458412231,"SC+TPRS"
"299",3.96025035294146,"SC+TPRS"
"300",3.99011053276597,"SC+TPRS"
"301",3.96875625489864,"SC+TPRS"
"302",3.97049029895583,"SC+TPRS"
"303",3.96476185281477,"SC+TPRS"
"304",3.9573553105445,"SC+TPRS"
"305",3.97278386422146,"SC+TPRS"
"306",3.97466130324288,"SC+TPRS"
"307",3.96095708309221,"SC+TPRS"
"308",3.98411505131942,"SC+TPRS"
"309",3.96559570619529,"SC+TPRS"
"310",3.96284081506132,"SC+TPRS"
"311",3.96966880230753,"SC+TPRS"
"312",3.96516339039852,"SC+TPRS"
"313",3.97809358663664,"SC+TPRS"
"314",3.97318009603648,"SC+TPRS"
"315",3.96706736714929,"SC+TPRS"
"316",3.97663777113634,"SC+TPRS"
"317",3.99573610430167,"SC+TPRS"
"318",3.973687995817,"SC+TPRS"
"319",3.96360635683446,"SC+TPRS"
"320",3.95058193188940,"SC+TPRS"
"321",3.99663408455126,"SC+TPRS"
"322",3.97941732558956,"SC+TPRS"
"323",3.99476837168281,"SC+TPRS"
"324",3.95601543282162,"SC+TPRS"
"325",3.95862826191355,"SC+TPRS"
"326",3.97250997569924,"SC+TPRS"
"327",3.97301645633253,"SC+TPRS"
"328",3.96294186229722,"SC+TPRS"
"329",3.98719898185213,"SC+TPRS"
"330",3.99239182486634,"SC+TPRS"
"331",3.94914819774400,"SC+TPRS"
"332",3.97860335616419,"SC+TPRS"
"333",3.97347771214943,"SC+TPRS"
"334",3.97766840935992,"SC+TPRS"
"335",3.96952417121757,"SC+TPRS"
"336",3.98177516683846,"SC+TPRS"
"337",3.96806025870727,"SC+TPRS"
"338",3.97617782802211,"SC+TPRS"
"339",3.98464187125251,"SC+TPRS"
"340",3.95531145988838,"SC+TPRS"
"341",3.97943793574696,"SC+TPRS"
"342",3.9476424651853,"SC+TPRS"
"343",3.9775480434453,"SC+TPRS"
"344",3.97088932278828,"SC+TPRS"
"345",3.97134620308058,"SC+TPRS"
"346",3.97039526943312,"SC+TPRS"
"347",3.9752958479936,"SC+TPRS"
"348",3.97756478570995,"SC+TPRS"
"349",3.96687590634933,"SC+TPRS"
"350",3.98833907034406,"SC+TPRS"
"351",3.97728532640489,"SC+TPRS"
"352",3.98749983851874,"SC+TPRS"
"353",3.96777460820907,"SC+TPRS"
