"survey","object","distance","obs","mas","has","observed"
"July 92",1,40,"TJS",50,1,1
"July 92",2,60,"TJS",50,1,1
"July 92",3,45,"TJS",50,1,1
"July 92",4,100,"TJS",50,1,1
"July 92",5,125,"TJS",50,1,1
"July 92",6,120,"TJS",50,1,1
"July 92",7,140,"TJS",50,1,1
"July 92",8,80,"TJS",50,1,1
"July 92",9,65,"TJS",64,1,1
"July 92",10,90,"TJS",64,1,1
"July 92",11,120,"TJS",64,1,1
"July 92",12,85,"TJS",64,1,1
"July 92",13,150,"TJS",64,1,1
"July 92",14,180,"TJS",77,1,1
"July 92",15,220,"TJS",77,1,1
"July 92",16,105,"TJS",77,1,1
"July 92",17,90,"TJS",77,1,1
"July 92",18,90,"TJS",77,1,1
"July 92",19,65,"TJS",92,2,1
"July 92",20,35,"TJS",92,2,1
"July 92",21,60,"TJS",92,2,1
"July 92",22,60,"TJS",113,2,1
"July 92",23,115,"TJS",113,2,1
"July 92",24,85,"TJS",113,2,1
"July 92",25,30,"TJS",113,2,1
"July 92",26,80,"TJS",113,2,1
"July 92",27,85,"TJS",127,2,1
"July 92",28,60,"TJS",127,2,1
"July 92",29,30,"TJS",127,2,1
"July 92",30,80,"TJS",127,2,1
"July 92",31,80,"TJS",127,2,1
"July 92",32,65,"TJS",127,2,1
"July 92",33,250,"TJS",127,2,1
"July 92",34,110,"TJS",140,2,1
"July 92",35,80,"TJS",140,2,1
"July 92",36,90,"TJS",140,2,1
"July 92",37,45,"TJS",140,2,1
"July 92",38,85,"TJS",140,2,1
"July 92",39,85,"TJS",140,2,1
"July 92",40,85,"TJS",152,3,1
"July 92",41,95,"TJS",152,3,1
"July 92",42,75,"TJS",152,3,1
"July 92",43,75,"TJS",152,3,1
"July 92",44,60,"TJS",152,3,1
"July 92",45,53,"TJS",152,3,1
"July 92",46,180,"TJS",152,3,1
"July 92",47,110,"TJS",164,3,1
"July 92",48,65,"TJS",164,3,1
"July 92",49,95,"TJS",164,3,1
"July 92",50,75,"TJS",164,3,1
"July 92",51,80,"TJS",164,3,1
"July 92",52,45,"TJS",164,3,1
"July 92",53,55,"TJS",177,3,1
"July 92",54,45,"TJS",177,3,1
"July 92",55,125,"TJS",177,3,1
"July 92",56,35,"TJS",177,3,1
"July 92",57,80,"TJS",189,3,1
"July 92",58,105,"TJS",189,3,1
"July 92",59,75,"TJS",189,3,1
"July 92",60,90,"TJS",189,3,1
"July 92",61,65,"TJS",202,3,1
"July 92",62,55,"TJS",202,3,1
"July 92",63,40,"TJS",202,3,1
"July 92",64,60,"TJS",202,3,1
"July 92",65,80,"TJS",202,3,1
"July 92",66,18,"SGF",42,1,1
"July 92",67,40,"SGF",42,1,1
"July 92",68,70,"SGF",42,1,1
"July 92",69,15,"SGF",42,1,1
